source_location,sentiment,0
Saanen,NEUTRAL,7
Saanen,POSITIVE,61
Sankt Gallen,NEGATIVE,212
Sankt Gallen,NEUTRAL,10
Sankt Gallen,POSITIVE,285
Sarnen,NEGATIVE,39
Sarnen,POSITIVE,29
Schaffhausen,NEGATIVE,209
Schaffhausen,POSITIVE,438
Schenkon,NEGATIVE,117
Schenkon,NEUTRAL,4
Schenkon,POSITIVE,131
Schleitheim,NEGATIVE,1
Schleitheim,POSITIVE,4
Schmerikon,NEGATIVE,2
Schmerikon,NEUTRAL,1
Schweiz,NEGATIVE,15073
Schweiz,NEUTRAL,456
Schweiz,POSITIVE,22913
Schwyz,NEGATIVE,20
Schwyz,POSITIVE,27
Schüpfheim,NEGATIVE,1
Schüpfheim,POSITIVE,3
Scuol,NEGATIVE,15
Scuol,NEUTRAL,1
Scuol,POSITIVE,16
Sissach,NEGATIVE,10
Sissach,NEUTRAL,1
Sissach,POSITIVE,6
Solothurn,NEGATIVE,240
Solothurn,NEUTRAL,20
Solothurn,POSITIVE,317
Solothurn/Zurich Switzerland,POSITIVE,1
St. Gallen,NEGATIVE,803
St. Gallen,NEUTRAL,22
St. Gallen,POSITIVE,1392
Stans,NEGATIVE,51
Stans,POSITIVE,49
Steckborn,NEGATIVE,3
Steckborn,POSITIVE,4
Suhr,POSITIVE,1
Suica,POSITIVE,1
Suisse,NEGATIVE,126
Suisse,NEUTRAL,43
Suisse,POSITIVE,176
Suiza,NEGATIVE,34
Suiza,POSITIVE,7
Sursee,NEGATIVE,25
Sursee,NEUTRAL,1
Sursee,POSITIVE,48
Suíça,NEGATIVE,46
Suíça,NEUTRAL,2
Suíça,POSITIVE,39
Suïssa,POSITIVE,1
Svajcarska,NEGATIVE,2
Svizra,NEGATIVE,1
Svizra,POSITIVE,3
Svizzera,NEGATIVE,2
Svizzera,POSITIVE,11
Swiss,NEGATIVE,963
Swiss,NEUTRAL,41
Swiss,POSITIVE,753
Switzerland,NEGATIVE,17735
Switzerland,NEUTRAL,806
Switzerland,POSITIVE,23292
"Switzerland, Zurich",NEGATIVE,1
Thun,NEGATIVE,268
Thun,NEUTRAL,14
Thun,POSITIVE,347
Uster,NEGATIVE,69
Uster,NEUTRAL,1
Uster,POSITIVE,189
Visp,NEGATIVE,15
Visp,POSITIVE,44
Waldenburg,NEGATIVE,25
Waldenburg,NEUTRAL,1
Waldenburg,POSITIVE,30
Weinfelden,NEGATIVE,13
Weinfelden,NEUTRAL,1
Weinfelden,POSITIVE,13
Wengen,POSITIVE,3
Willisau,NEGATIVE,8
Willisau,POSITIVE,17
Winterthur,NEGATIVE,820
Winterthur,NEUTRAL,26
Winterthur,POSITIVE,1142
Zermatt,NEGATIVE,21
Zermatt,NEUTRAL,2
Zermatt,POSITIVE,13
Zofingen,NEGATIVE,41
Zofingen,POSITIVE,68
Zuerich,NEGATIVE,113
Zuerich,NEUTRAL,4
Zuerich,POSITIVE,281
Zurich,NEGATIVE,2577
Zurich,NEUTRAL,78
Zurich,POSITIVE,4462
Zurich + Ocean Falls B.C.,NEGATIVE,1
Zurich Switzerland,POSITIVE,2
"Zurich, Switzerland",NEGATIVE,2
"Zurich, Switzerland",NEUTRAL,1
"Zurich, Switzerland",POSITIVE,17
Zurigo,NEGATIVE,49
Zurigo,POSITIVE,86
Zwitserland,NEGATIVE,9
Zwitserland,POSITIVE,3
Zürich,NEGATIVE,12742
Zürich,NEUTRAL,384
Zürich,POSITIVE,21399
meistens in Graubünden,POSITIVE,1
portugal ↔ switzerland,POSITIVE,1
İsviçre,NEGATIVE,2
İsviçre,POSITIVE,5
Швейцария,NEGATIVE,1
スイス,NEGATIVE,11
スイス,POSITIVE,20
