source_location,sentiment,0
Suiza,POSITIVE,9
Sursee,NEGATIVE,19
Sursee,NEUTRAL,2
Sursee,POSITIVE,47
Suíça,NEGATIVE,42
Suíça,NEUTRAL,2
Suíça,POSITIVE,18
Svajcarska,NEGATIVE,4
Svizra,NEUTRAL,1
Svizra,POSITIVE,4
Svizzera,NEGATIVE,6
Svizzera,POSITIVE,7
Swiss,NEGATIVE,916
Swiss,NEUTRAL,52
Swiss,POSITIVE,808
Switzerland,NEGATIVE,17860
Switzerland,NEUTRAL,792
Switzerland,POSITIVE,24168
Tafers,POSITIVE,2
Thun,NEGATIVE,262
Thun,NEUTRAL,9
Thun,POSITIVE,362
Uster,NEGATIVE,116
Uster,NEUTRAL,4
Uster,POSITIVE,116
Visp,NEGATIVE,27
Visp,NEUTRAL,1
Visp,POSITIVE,32
Waldenburg,NEGATIVE,197
Waldenburg,NEUTRAL,30
Waldenburg,POSITIVE,440
Wangen an der Aare,NEGATIVE,3
Wangen an der Aare,POSITIVE,1
Weinfelden,NEGATIVE,16
Weinfelden,NEUTRAL,1
Weinfelden,POSITIVE,32
Wengen,POSITIVE,4
Willisau,NEGATIVE,10
Willisau,POSITIVE,10
Winterthur,NEGATIVE,815
Winterthur,NEUTRAL,31
Winterthur,POSITIVE,1191
Wittnau,NEGATIVE,1
Wittnau,POSITIVE,2
Zermatt,NEGATIVE,7
Zermatt,NEUTRAL,1
Zermatt,POSITIVE,34
Zofingen,NEGATIVE,57
Zofingen,POSITIVE,92
Zuerich,NEGATIVE,131
Zuerich,NEUTRAL,1
Zuerich,POSITIVE,284
Zurich,NEGATIVE,2536
Zurich,NEUTRAL,77
Zurich,POSITIVE,4942
Zurigo,NEGATIVE,53
Zurigo,NEUTRAL,3
Zurigo,POSITIVE,92
Zwitserland,NEGATIVE,5
Zürich,NEGATIVE,14295
Zürich,NEUTRAL,363
Zürich,POSITIVE,24060
İsviçre,NEGATIVE,1
スイス,NEGATIVE,11
スイス,POSITIVE,14
