City,Sentiment,Month,Count,Latitude,Longitude
aubonne,POSITIVE,july,6,46.4952916,6.3915748
aubonne,NEGATIVE,october,1,46.4952916,6.3915748
aubonne,POSITIVE,september,1,46.4952916,6.3915748
augio,POSITIVE,may,3,46.364975,9.12689
augio,POSITIVE,october,4,46.364975,9.12689
augustinergasse,POSITIVE,august,2,47.3722321,8.5391738
augustinergasse,POSITIVE,october,2,47.3722321,8.5391738
augustinergasse,POSITIVE,september,7,47.3722321,8.5391738
auvernier,POSITIVE,august,24,46.9763951,6.8786323000000005
auvernier,NEGATIVE,october,1,46.9763951,6.8786323000000005
avenches,NEGATIVE,august,17,46.879575,7.040941
avenches,POSITIVE,july,1,46.879575,7.040941
avenches,NEGATIVE,october,10,46.879575,7.040941
avenches,NEGATIVE,september,28,46.879575,7.040941
avry,POSITIVE,august,1,46.787867,7.060304
avry,POSITIVE,july,1,46.787867,7.060304
avry,POSITIVE,october,6,46.787867,7.060304
avry,POSITIVE,september,1,46.787867,7.060304
ayent,POSITIVE,august,7,46.3190236,7.4166422961500595
ayent,POSITIVE,july,1,46.3190236,7.4166422961500595
ayent,POSITIVE,october,24,46.3190236,7.4166422961500595
ayent,POSITIVE,september,8,46.3190236,7.4166422961500595
baar,POSITIVE,august,71,47.19483020000001,8.525613400000001
baar,POSITIVE,july,7,47.19483020000001,8.525613400000001
baar,POSITIVE,october,61,47.19483020000001,8.525613400000001
baar,POSITIVE,september,55,47.19483020000001,8.525613400000001
baarerstrasse,POSITIVE,october,1,47.170773,8.515984300000001
baarerstrasse,POSITIVE,september,1,47.170773,8.515984300000001
bachenbülach,POSITIVE,august,6,47.5048139,8.5474099
bachenbülach,POSITIVE,october,1,47.5048139,8.5474099
bachenbülach,POSITIVE,september,3,47.5048139,8.5474099
baden,POSITIVE,april,948,47.47368270000001,8.3086822
baden,POSITIVE,august,1309,47.47368270000001,8.3086822
baden,POSITIVE,february,704,47.47368270000001,8.3086822
baden,POSITIVE,january,426,47.47368270000001,8.3086822
baden,POSITIVE,july,193,47.47368270000001,8.3086822
baden,POSITIVE,june,575,47.47368270000001,8.3086822
baden,POSITIVE,march,778,47.47368270000001,8.3086822
baden,POSITIVE,may,915,47.47368270000001,8.3086822
baden,POSITIVE,october,1898,47.47368270000001,8.3086822
baden,POSITIVE,september,1512,47.47368270000001,8.3086822
bagnes,NEGATIVE,august,39,46.00998095,7.30700547338256
bagnes,NEGATIVE,july,7,46.00998095,7.30700547338256
bagnes,NEGATIVE,october,74,46.00998095,7.30700547338256
bagnes,POSITIVE,september,34,46.00998095,7.30700547338256
bahnhofplatz,POSITIVE,august,16,46.94908770000001,7.440560499999999
bahnhofplatz,POSITIVE,july,3,46.94908770000001,7.440560499999999
bahnhofplatz,POSITIVE,october,8,46.94908770000001,7.440560499999999
bahnhofplatz,POSITIVE,september,9,46.94908770000001,7.440560499999999
balerna,POSITIVE,october,2,45.8491908,9.0070811
balerna,NEGATIVE,september,1,45.8491908,9.0070811
balgach,POSITIVE,august,23,47.4068832,9.6062727
balgach,NEGATIVE,july,2,47.4068832,9.6062727
balgach,NEGATIVE,may,2,47.4068832,9.6062727
balgach,POSITIVE,october,74,47.4068832,9.6062727
balgach,POSITIVE,september,34,47.4068832,9.6062727
ballwil,NEGATIVE,august,9,47.1521716,8.3185717
ballwil,NEGATIVE,october,1,47.1521716,8.3185717
ballwil,NEGATIVE,september,5,47.1521716,8.3185717
balsthal,NEGATIVE,august,1,47.3140365,7.694776400000001
balsthal,POSITIVE,september,1,47.3140365,7.694776400000001
baltschieder,NEGATIVE,august,2,46.3079079,7.8646512
baltschieder,POSITIVE,october,4,46.3079079,7.8646512
baltschieder,NEGATIVE,september,1,46.3079079,7.8646512
basel,POSITIVE,april,9076,47.55810770000001,7.5878261
basel,POSITIVE,august,11436,47.55810770000001,7.5878261
basel,POSITIVE,february,8419,47.55810770000001,7.5878261
basel,POSITIVE,january,5370,47.55810770000001,7.5878261
basel,POSITIVE,july,1987,47.55810770000001,7.5878261
basel,POSITIVE,june,7749,47.55810770000001,7.5878261
basel,POSITIVE,march,9312,47.55810770000001,7.5878261
basel,POSITIVE,may,10802,47.55810770000001,7.5878261
basel,POSITIVE,october,14131,47.55810770000001,7.5878261
basel,POSITIVE,september,12980,47.55810770000001,7.5878261
basilea,POSITIVE,april,1,47.55810770000001,7.5878261
basilea,POSITIVE,august,20,47.55810770000001,7.5878261
basilea,NEGATIVE,february,2,47.55810770000001,7.5878261
basilea,POSITIVE,july,4,47.55810770000001,7.5878261
basilea,NEGATIVE,june,15,47.55810770000001,7.5878261
basilea,NEGATIVE,march,3,47.55810770000001,7.5878261
basilea,POSITIVE,may,6,47.55810770000001,7.5878261
basilea,NEGATIVE,october,28,47.55810770000001,7.5878261
basilea,POSITIVE,september,29,47.55810770000001,7.5878261
bavois,POSITIVE,august,1,46.68521679999999,6.565113900000001
bavois,POSITIVE,october,1,46.68521679999999,6.565113900000001
beckenhofstrasse,POSITIVE,august,2,47.3871491,8.539936
beckenhofstrasse,POSITIVE,october,2,47.3871491,8.539936
beckenhofstrasse,POSITIVE,september,3,47.3871491,8.539936
