City,Sentiment,Month,Language,Count,Latitude,Longitude
Aeschi,POSITIVE,september,de,4,47.18042020000001,7.661874000000001
Aeugst,POSITIVE,august,de,1,47.5338077,7.7206018
Aeugst,POSITIVE,august,en,10,47.5338077,7.7206018
Aeugst,POSITIVE,july,en,2,47.5338077,7.7206018
Aeugst,NEGATIVE,october,de,1,47.5338077,7.7206018
Aeugst,POSITIVE,october,en,12,47.5338077,7.7206018
Aeugst,POSITIVE,october,fr,1,47.5338077,7.7206018
Aeugst,POSITIVE,september,de,1,47.5338077,7.7206018
Aeugst,POSITIVE,september,en,5,47.5338077,7.7206018
Aeugst,POSITIVE,september,fr,1,47.5338077,7.7206018
Affoltern,POSITIVE,april,de,3,47.4188265,8.5068666
Affoltern,POSITIVE,april,en,4,47.4188265,8.5068666
Affoltern,POSITIVE,august,de,23,47.4188265,8.5068666
Affoltern,POSITIVE,august,en,1,47.4188265,8.5068666
Affoltern,POSITIVE,february,de,2,47.4188265,8.5068666
Affoltern,POSITIVE,february,en,1,47.4188265,8.5068666
Affoltern,NEGATIVE,january,de,2,47.4188265,8.5068666
Affoltern,POSITIVE,july,de,2,47.4188265,8.5068666
Affoltern,POSITIVE,july,en,1,47.4188265,8.5068666
Affoltern,NEGATIVE,june,de,1,47.4188265,8.5068666
Affoltern,POSITIVE,march,de,3,47.4188265,8.5068666
Affoltern,POSITIVE,march,en,7,47.4188265,8.5068666
Affoltern,NEGATIVE,may,de,6,47.4188265,8.5068666
Affoltern,POSITIVE,may,en,2,47.4188265,8.5068666
Affoltern,POSITIVE,october,de,26,47.4188265,8.5068666
Affoltern,POSITIVE,september,de,36,47.4188265,8.5068666
Affoltern,NEGATIVE,september,en,1,47.4188265,8.5068666
Affoltern,POSITIVE,september,fr,1,47.4188265,8.5068666
Aigle,NEGATIVE,april,de,1,46.3179006,6.9688929
Aigle,POSITIVE,april,en,67,46.3179006,6.9688929
Aigle,NEGATIVE,april,fr,88,46.3179006,6.9688929
Aigle,POSITIVE,august,de,4,46.3179006,6.9688929
Aigle,POSITIVE,august,en,329,46.3179006,6.9688929
Aigle,NEGATIVE,august,fr,77,46.3179006,6.9688929
Aigle,POSITIVE,february,en,8,46.3179006,6.9688929
Aigle,NEGATIVE,february,fr,69,46.3179006,6.9688929
Aigle,NEGATIVE,january,fr,120,46.3179006,6.9688929
Aigle,POSITIVE,july,en,190,46.3179006,6.9688929
Aigle,NEGATIVE,july,fr,7,46.3179006,6.9688929
Aigle,POSITIVE,june,en,102,46.3179006,6.9688929
Aigle,NEGATIVE,june,fr,37,46.3179006,6.9688929
Aigle,POSITIVE,march,de,1,46.3179006,6.9688929
Aigle,POSITIVE,march,en,6,46.3179006,6.9688929
Aigle,NEGATIVE,march,fr,152,46.3179006,6.9688929
Aigle,POSITIVE,may,en,35,46.3179006,6.9688929
Aigle,NEGATIVE,may,fr,74,46.3179006,6.9688929
Aigle,NEGATIVE,october,de,5,46.3179006,6.9688929
Aigle,POSITIVE,october,en,391,46.3179006,6.9688929
Aigle,NEGATIVE,october,fr,85,46.3179006,6.9688929
Aigle,NEGATIVE,september,de,7,46.3179006,6.9688929
Aigle,POSITIVE,september,en,272,46.3179006,6.9688929
Aigle,POSITIVE,september,fr,80,46.3179006,6.9688929
Albinen,POSITIVE,august,de,1,46.34064420000001,7.6337277000000014
