source_location,sentiment,0
Suisse,NEGATIVE,202
Suisse,NEUTRAL,27
Suisse,POSITIVE,340
Suiza,NEGATIVE,8
Suiza,NEUTRAL,1
Suiza,POSITIVE,3
Sursee,NEGATIVE,18
Sursee,NEUTRAL,2
Sursee,POSITIVE,37
Suíça,NEGATIVE,19
Suíça,POSITIVE,16
Suïssa,NEGATIVE,1
Svajcarska,NEGATIVE,14
Svajcarska,POSITIVE,4
Svizra,NEGATIVE,3
Svizra,POSITIVE,5
Svizzera,NEGATIVE,2
Svizzera,POSITIVE,6
Swiss,NEGATIVE,821
Swiss,NEUTRAL,26
Swiss,POSITIVE,686
Switzerland,NEGATIVE,19741
Switzerland,NEUTRAL,664
Switzerland,POSITIVE,26103
Thun,NEGATIVE,166
Thun,NEUTRAL,5
Thun,POSITIVE,278
Uster,NEGATIVE,70
Uster,POSITIVE,133
Visp,NEGATIVE,45
Visp,NEUTRAL,1
Visp,POSITIVE,71
Waldenburg,NEGATIVE,289
Waldenburg,NEUTRAL,10
Waldenburg,POSITIVE,352
Wangen an der Aare,NEGATIVE,2
Wangen an der Aare,POSITIVE,1
Weinfelden,NEGATIVE,14
Weinfelden,POSITIVE,35
Wengen,NEGATIVE,2
Wengen,POSITIVE,7
Willisau,NEGATIVE,15
Willisau,POSITIVE,7
Winterthur,NEGATIVE,723
Winterthur,NEUTRAL,15
Winterthur,POSITIVE,1140
Wittnau,NEGATIVE,2
Wittnau,POSITIVE,2
Zermatt,NEGATIVE,15
Zermatt,POSITIVE,55
Zofingen,NEGATIVE,60
Zofingen,POSITIVE,80
Zuerich,NEGATIVE,135
Zuerich,NEUTRAL,2
Zuerich,POSITIVE,296
Zurich,NEGATIVE,2730
Zurich,NEUTRAL,61
Zurich,POSITIVE,5026
Zurigo,NEGATIVE,58
Zurigo,POSITIVE,82
Zwitserland,NEGATIVE,7
Zwitserland,POSITIVE,1
Zürich,NEGATIVE,14824
Zürich,NEUTRAL,296
Zürich,POSITIVE,25101
İsviçre,NEGATIVE,2
İsviçre,POSITIVE,2
スイス,NEGATIVE,8
スイス,POSITIVE,15
瑞士,NEGATIVE,1
