source_location,sentiment,0
Sursee,NEUTRAL,2
Sursee,POSITIVE,46
Suíça,NEGATIVE,41
Suíça,NEUTRAL,2
Suíça,POSITIVE,19
Svajcarska,NEGATIVE,4
Svizra,NEUTRAL,1
Svizra,POSITIVE,4
Svizzera,NEGATIVE,6
Svizzera,POSITIVE,7
Swiss,NEGATIVE,900
Swiss,NEUTRAL,52
Swiss,POSITIVE,824
Switzerland,NEGATIVE,17588
Switzerland,NEUTRAL,792
Switzerland,POSITIVE,24440
Tafers,POSITIVE,2
Thun,NEGATIVE,258
Thun,NEUTRAL,9
Thun,POSITIVE,366
Uster,NEGATIVE,110
Uster,NEUTRAL,4
Uster,POSITIVE,122
Visp,NEGATIVE,22
Visp,NEUTRAL,1
Visp,POSITIVE,37
Waldenburg,NEGATIVE,225
Waldenburg,NEUTRAL,30
Waldenburg,POSITIVE,412
Wangen an der Aare,NEGATIVE,3
Wangen an der Aare,POSITIVE,1
Weinfelden,NEGATIVE,16
Weinfelden,NEUTRAL,1
Weinfelden,POSITIVE,32
Wengen,POSITIVE,4
Willisau,NEGATIVE,10
Willisau,POSITIVE,10
Winterthur,NEGATIVE,786
Winterthur,NEUTRAL,31
Winterthur,POSITIVE,1220
Wittnau,NEGATIVE,1
Wittnau,POSITIVE,2
Zermatt,NEGATIVE,6
Zermatt,NEUTRAL,1
Zermatt,POSITIVE,35
Zofingen,NEGATIVE,77
Zofingen,POSITIVE,72
Zuerich,NEGATIVE,125
Zuerich,NEUTRAL,1
Zuerich,POSITIVE,290
Zurich,NEGATIVE,2492
Zurich,NEUTRAL,77
Zurich,POSITIVE,4986
Zurigo,NEGATIVE,53
Zurigo,NEUTRAL,3
Zurigo,POSITIVE,92
Zwitserland,NEGATIVE,5
Zürich,NEGATIVE,14038
Zürich,NEUTRAL,363
Zürich,POSITIVE,24317
İsviçre,NEGATIVE,1
スイス,NEGATIVE,9
スイス,POSITIVE,16
